sepallength,sepalwidth,petallength,petalwidth,class	
5.50,2.80,4.93,1.70,Iris-versicolor
6.70,2.80,4.93,1.70,Iris-versicolor
6.70,3.60,4.93,1.70,Iris-versicolor
6.70,3.60,4.93,1.70,Iris-versicolor
6.70,3.60,4.93,1.70,Iris-versicolor
5.50,2.80,4.93,1.70,Iris-versicolor
6.70,2.80,4.93,1.70,Iris-versicolor
6.70,3.60,6.90,2.50,Iris-virginica
6.70,2.80,6.90,2.50,Iris-virginica
7.90,3.60,6.90,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
7.90,3.60,6.90,2.50,Iris-virginica
5.50,2.80,4.93,1.70,Iris-virginica
7.90,3.60,6.90,2.50,Iris-virginica
6.70,2.80,6.90,2.50,Iris-virginica
7.90,3.60,6.90,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
6.70,2.80,6.90,2.50,Iris-virginica
7.90,3.60,6.90,2.50,Iris-virginica
6.70,2.80,6.90,2.50,Iris-virginica
6.70,2.80,6.90,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
7.90,4.40,6.90,2.50,Iris-virginica
7.90,2.80,6.90,2.50,Iris-virginica
6.70,2.80,6.90,1.70,Iris-virginica
7.90,3.60,6.90,2.50,Iris-virginica
6.70,2.80,4.93,2.50,Iris-virginica
7.90,2.80,6.90,2.50,Iris-virginica
6.70,2.80,4.93,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
7.90,3.60,6.90,2.50,Iris-virginica
6.70,2.80,4.93,2.50,Iris-virginica
6.70,3.60,4.93,2.50,Iris-virginica
6.70,2.80,6.90,2.50,Iris-virginica
7.90,3.60,6.90,1.70,Iris-virginica
7.90,2.80,6.90,2.50,Iris-virginica
7.90,4.40,6.90,2.50,Iris-virginica
6.70,2.80,6.90,2.50,Iris-virginica
6.70,2.80,6.90,1.70,Iris-virginica
6.70,2.80,6.90,1.70,Iris-virginica
7.90,3.60,6.90,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
6.70,3.60,4.93,2.50,Iris-virginica
7.90,3.60,6.90,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
7.90,3.60,6.90,2.50,Iris-virginica
6.70,2.80,6.90,2.50,Iris-virginica
7.90,3.60,6.90,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
6.70,2.80,6.90,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
6.70,3.60,6.90,2.50,Iris-virginica
